8,Ryzen 7,5700X3D,3.0 GHz (4.1GHz Max Turbo),L1:512KB/L2:4MB/L3:96MB,105 W,--
4,Ryzen 5,5500,3.6GHz (4.2GHz Max Turbo),L1:384KB/L2:3MB/L3:16MB,65 W,--
0,Ryzen 3,3200G,3.6GHz (4GHz Max Turbo),L1:384KB/L2:2MB/L3:4MB,65 W,--
