8,intel Core i7,13700,5.2GHz Max Turbo,L2: 24MB/ L3:30MB,65 W ~ 219 W,--
4,intel Core i5,12400,2.5GHz (4.4GHz Max Turbo),L2:7.5MB/ L3:18MB,65 W ~ 117 W,--
0,intel Core i3,12100,3.3GHz (4.3GHz Max Turbo),L2:5MB/ L3:12MB,65 W ~ 202 W,--
